sids,uid,state,ll,name,elev
"['241050 2', 'USC00241050 6', 'BGRM8 7']",11778,MT,"[-110.88333, 45.81667]",BOZEMAN 12 NE,5950.0
"['249008 2', 'WLWM8 7']",11779,MT,"[-111.65, 45.81667]",WILLOW CREEK,4160.0
"['247367 2', 'USC00247367 6']",11780,MT,"[-111.76667, 45.8]",SAPPINGTON,4203.0
"['247369 2', 'SPPM8 7']",11781,MT,"[-111.752, 45.8061]",SAPPINGTON HWY BRIDGE,4167.0
['249087 2'],11782,MT,"[-112.93333, 45.8]",WISE RIVER 1 E,5673.0
"['242689 2', 'USC00242689 6', 'EKLM8 7', 'EKLM3 7']",11783,MT,"[-104.5478, 45.8863]",EKALAKA,3432.0
"['246691 2', 'USC00246691 6', 'POWM8 7']",11784,MT,"[-105.035, 45.8525]",POWDERVILLE 8 NNE,2800.0
"['241905 2', 'USC00241905 6', 'COLM8 7']",11785,MT,"[-106.6336, 45.8944]",COLSTRIP,3218.0
"['241842 2', 'USC00241842 6']",11786,MT,"[-110.58333, 45.85]",CLYDE PARK 2 SE,4734.0
"['241840 2', 'USC00241840 6', 'CYDM8 7']",11787,MT,"[-110.6551, 45.9883]",WILSALL 1S,5015.0
"['245351 2', 'USC00245351 6']",11788,MT,"[-111.33333, 45.86667]",MANHATTAN,4232.0
"['245122 2', 'LNGM8 7', 'LOGM8 7']",11789,MT,"[-111.4588, 45.8908]",LOGAN 2 W,4089.0
"['241500 2', 'USC00241500 6', 'CARM8 7']",11790,MT,"[-111.9523, 45.8604]",CARDWELL,4270.0
"['249092 2', 'USC00249092 6']",11791,MT,"[-113.11667, 45.88333]",WISE RIVER 10 NW,5814.0
['249094 2'],11792,MT,"[-113.26667, 45.88333]",WISE RIVER 17 WNW,6004.0
['249095 2'],11793,MT,"[-113.3, 45.88333]",WISE RIVER 18 WNW,6306.0
['245468 2'],11794,MT,"[-113.71667, 45.88333]",MC CART LOOKOUT,7106.0
"['247964 2', 'USC00247964 6', 'SULM8 7']",11795,MT,"[-113.9585, 45.81925]",SULA 2 SE (SULA RS),4570.0
"['241970 2', 'USC00241970 6']",11796,MT,"[-114.05, 45.86667]",CONNER 5 SE,4281.0
"['244715 2', 'USC00244715 6', 'NOBM8 7']",11797,MT,"[-104.1583, 45.8727]",KNOBS 4 SW,3086.0
"['244364 2', 'USC00244364 6', 'HSMM8 7']",11798,MT,"[-107.1375, 45.9352]",HYSHAM 25 SSE,3100.0
"['244345 2', 'USC00244345 6', 'SBRM8 7']",11799,MT,"[-108.2453, 45.9227]",HUNTLEY EXPERIMENTAL STATION,3034.0
"['246862 2', 'USC00246862 6', 'RPJM8 7']",11800,MT,"[-109.2537, 45.9718]",RAPELJE,4068.0
"['242533 2', 'USC00242533 6']",11801,MT,"[-111.8, 45.9]",DRYLAND EXPERIMENT STN,4905.0
"['241309 2', 'BTTM8 7']",11802,MT,"[-112.5471, 45.8966]",BUTTE 8 S,5700.0
"['241968 2', 'USC00241968 6']",11803,MT,"[-114.13333, 45.93333]",CONNER,4032.0
['244347 2'],11804,MT,"[-108.11667, 45.98333]",HUNTLEY EXPERINEMT STN,2933.0
"['240432 2', 'USC00240432 6', 'BLNM8 7']",11805,MT,"[-108.1438, 45.9497]",BALLANTINE,3000.0
"['249025 2', 'USC00249025 6']",11806,MT,"[-110.85, 45.96667]",WILSALL 10 WSW,5492.0
"['248363 2', 'USC00248363 6', 'TRIM8 7']",11807,MT,"[-111.4757, 45.9468]",TRIDENT,4036.0
"['24135 1', '241318 2', 'BTM 3', '72774 4', 'KBTM 5', 'USW00024135 6', 'BTM 7', 'USW00024135 32']",11808,MT,"[-112.50147, 45.96436]",BUTTE BERT MOONEY AP,5505.0
"['243486 2', 'USC00243486 6', 'GBNM8 7']",11809,MT,"[-109.4954, 46.0398]",GIBSON 2 NE,4444.0
"['249023 2', 'USC00249023 6', 'WILM8 7']",11810,MT,"[-110.5055, 46.0305]",WILSALL 8 ENE,5865.0
"['249018 2', 'USC00249018 6']",11811,MT,"[-110.66667, 46.0]",WILSALL,5052.0
"['245608 2', 'USC00245608 6', 'MENM8 7']",11812,MT,"[-111.1328, 45.9994]",MENARD 3 NE,5053.0
['241013 2'],11813,MT,"[-112.2, 46.01667]",BOULDER 15 S,5725.0
"['241313 2', 'USC00241313 6', 'MTTM8 7']",11814,MT,"[-112.55858, 46.01261]",MONTANA TECH (BUTTE SCHOOL OF MINES),5750.0
['242277 2'],11815,MT,"[-114.05, 46.03333]",DEER MOUNTAIN LOOKOUT,7283.0
['242224 2'],11816,MT,"[-114.16667, 46.03333]",DARBY RANGER STN,3891.0
"['242221 2', 'USC00242221 6', 'DRBM8 7']",11817,MT,"[-114.1763, 46.0263]",DARBY,3880.0
"['248732 2', 'USC00248732 6', 'WEBM8 7']",11818,MT,"[-104.1852, 46.0558]",WEBSTER 3 E,3140.0
"['243383 2', 'USC00243383 6']",11819,MT,"[-105.91667, 46.05]",GARLAND,2602.0
"['242723 2', 'USC00242723 6']",11820,MT,"[-112.41667, 46.08333]",ELK PARK,6306.0
"['245886 2', 'USC00245886 6']",11821,MT,"[-112.5, 46.08333]",MOULTON RESERVOIR,6699.0
"['24040 1', '242158 2', 'USW00024040 6', 'USW00024040 32']",11822,MT,"[-107.53333, 46.13333]",CUSTER,2743.0
"['241149 2', 'USC00241149 6']",11823,MT,"[-108.88333, 46.1]",BROADVIEW,3881.0
"['245602 2', 'USC00245602 6']",11824,MT,"[-109.95, 46.1]",MELVILLE,5023.0
"['245603 2', 'USC00245603 6', 'MVEM8 7']",11825,MT,"[-110.05, 46.1047]",MELVILLE 4 W,5365.0
"['248314 2', 'USC00248314 6']",11826,MT,"[-111.46667, 46.16667]",TOSTON 1 W,3934.0
"['242604 2', 'USC00242604 6']",11827,MT,"[-112.91667, 46.1]",EAST ANACONDA,5515.0
"['240199 2', 'USC00240199 6', 'ANAM8 7']",11828,MT,"[-112.97461, 46.13439]",ANACONDA,5366.0
"['245303 2', 'USC00245303 6', 'MAKM8 7']",11829,MT,"[-104.7352, 46.1422]",MACKENZIE,2810.0
"['240757 2', '240756 2']",11830,MT,"[-107.46667, 46.15]",BIG HORN 1 SW,2690.0
"['248303 2', 'TOSM8 7']",11831,MT,"[-111.4197, 46.1461]",TOSTON TELEMETERING,3906.0
"['248313 2', 'USC00248313 6']",11832,MT,"[-111.48333, 46.15]",TOSTON 2 SW,3953.0
['94137 1'],11833,MT,"[-112.75, 46.18333]",WARM SPRINGS,
"['248687 2', 'USC00248687 6']",11834,MT,"[-112.75, 46.18333]",WARM SPRINGS CREEK,4852.0
"['247605 2', 'USC00247605 6']",11835,MT,"[-113.21667, 46.16667]",SILVER LAKE,6483.0
['94117 1'],11836,MT,"[-112.1, 46.25]",BOULDER,
"['241008 2', 'USC00241008 6', 'BOUM8 7']",11837,MT,"[-112.1138, 46.231]",BOULDER,4904.0
['240523 2'],11838,MT,"[-112.58333, 46.23333]",BASIN 16 WSW,7106.0
['245687 2'],11839,MT,"[-105.76667, 46.26667]",MILES CITY 11 SSE,2441.0
['24094 1'],11840,MT,"[-106.66667, 46.26667]",FORSYTHE,
"['243099 2', 'USC00243099 6']",11841,MT,"[-106.61667, 46.26667]",FORSYTH 2 E,2723.0
"['243098 2', 'USC00243098 6', 'FSYM8 7']",11842,MT,"[-106.6755, 46.2721]",FORSYTH,2515.0
"['247088 2', 'USC00247088 6']",11843,MT,"[-110.76667, 46.26667]",RINGLING 1 E,5325.0
['248327 2'],11844,MT,"[-111.4, 46.26667]",TOWNSEND 9 ESE,4104.0
"['240515 2', 'USC00240515 6']",11845,MT,"[-112.26667, 46.26667]",BASIN,5364.0
"['240520 2', 'USC00240520 6']",11846,MT,"[-112.3, 46.28333]",BASIN 3 W,5535.0
"['243885 2', 'USC00243885 6', 'HAMM8 7']",11847,MT,"[-114.16794, 46.24622]",HAMILTON,3585.0
"['245754 2', 'USC00245754 6', 'MIZM8 7']",11848,MT,"[-105.2919, 46.2858]",MIZPAH 4 NNW,2480.0
"['244358 2', 'USC00244358 6', 'HYSM8 7']",11849,MT,"[-107.23052, 46.28973]",HYSHAM,2669.0
"['24099 1', '244904 2', 'USC00244904 6', 'LAVM8 7']",11850,MT,"[-108.9416, 46.293]",LAVINA,3434.0
"['247262 2', 'RYEM8 7']",11851,MT,"[-109.20722, 46.30111]",RYEGATE 2 E,3579.0
"['247261 2', '240466 2', 'USC00247261 6', 'USC00240466 6', 'RYTM8 7', 'BRBM8 7']",11852,MT,"[-109.2561, 46.2986]",RYEGATE,3650.0
"['24197 1', 'USW00024197 32']",11853,MT,"[-111.2, 46.3]",BELGRADE,
"['94133 1', '248324 2', 'USC00248324 6', 'TOWM8 7']",11854,MT,"[-111.45245, 46.29885]",TOWNSEND 3SE,3964.0
['248333 2'],11855,MT,"[-111.53333, 46.33333]",TOWNSEND HIGHWAY BRIDGE,3822.0
"['246470 2', 'USC00246470 6']",11856,MT,"[-113.3, 46.33333]",PHILIPSBURG,5282.0
"['246472 2', 'USC00246472 6', 'PHIM8 7']",11857,MT,"[-113.3, 46.3158]",PHILLIPSBURG RANGER STATION,5270.0
"['248783 2', 'USC00248783 6', 'WBRM8 7']",11858,MT,"[-114.08472, 46.32822]",WESTERN AG RESEARCH CENTER,3608.0
"['240420 2', 'FLNM8 7']",11860,MT,"[-104.275, 46.37472]",BAKER KFLN,2945.0
"['240412 2', 'USC00240412 6', 'BKRM8 7']",11861,MT,"[-104.2821, 46.3662]",BAKER,2933.0
