stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
SLM,D,2,RAIN,2017-6-13 00:00,2017-6-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-14 00:00,2017-6-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-15 00:00,2017-6-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-16 00:00,2017-6-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-17 00:00,2017-6-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-18 00:00,2017-6-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-19 00:00,2017-6-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-20 00:00,2017-6-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-21 00:00,2017-6-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-22 00:00,2017-6-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-23 00:00,2017-6-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-24 00:00,2017-6-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-25 00:00,2017-6-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-26 00:00,2017-6-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-27 00:00,2017-6-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-28 00:00,2017-6-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-29 00:00,2017-6-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-30 00:00,2017-6-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-1 00:00,2017-7-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-2 00:00,2017-7-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-3 00:00,2017-7-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-4 00:00,2017-7-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-5 00:00,2017-7-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-6 00:00,2017-7-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-7 00:00,2017-7-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-8 00:00,2017-7-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-9 00:00,2017-7-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-10 00:00,2017-7-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-11 00:00,2017-7-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-12 00:00,2017-7-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-13 00:00,2017-7-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-14 00:00,2017-7-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-15 00:00,2017-7-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-16 00:00,2017-7-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-17 00:00,2017-7-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-18 00:00,2017-7-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-19 00:00,2017-7-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-20 00:00,2017-7-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-7-21 00:00,2017-7-21 00:00,10.78, ,INCHES
SLM,D,3,SNOW WC,2016-10-1 00:00,2016-10-1 00:00,0.48, ,INCHES
SLM,D,3,SNOW WC,2016-10-2 00:00,2016-10-2 00:00,0.48, ,INCHES
SLM,D,3,SNOW WC,2016-10-3 00:00,2016-10-3 00:00,0.6, ,INCHES
SLM,D,3,SNOW WC,2016-10-4 00:00,2016-10-4 00:00,0.6, ,INCHES
SLM,D,3,SNOW WC,2016-10-5 00:00,2016-10-5 00:00,0.6, ,INCHES
SLM,D,3,SNOW WC,2016-10-6 00:00,2016-10-6 00:00,0.6, ,INCHES
